item,corr_answ
stimuli/Sample Item A-1.png,2
stimuli/Sample Item B-1.png,3
stimuli/Item01-1.png,2
stimuli/Item02-1.png,1
stimuli/Item03-1.png,3
stimuli/Item04-1.png,1
stimuli/Item05-1.png,5
stimuli/Item06-1.png,1
stimuli/Item07-1.png,3
stimuli/Item08-1.png,3
stimuli/Item09-1.png,4
stimuli/Item10-1.png,2
stimuli/Item11-1.png,3
stimuli/Item12-1.png,4
stimuli/Item13-1.png,1
stimuli/Item14-1.png,4
stimuli/Item15-1.png,2
stimuli/Item16-1.png,5
stimuli/Item17-1.png,4
stimuli/Item18-1.png,2
stimuli/Item19-1.png,4
stimuli/Item20-1.png,2
stimuli/Item21-1.png,3
stimuli/Item22-1.png,3
stimuli/Item23-1.png,1
stimuli/Item24-1.png,4
stimuli/Item25-1.png,4
stimuli/Item26-1.png,2
stimuli/Item27-1.png,5
stimuli/Item28-1.png,5
stimuli/Item29-1.png,1
stimuli/Item30-1.png,2
