reward_type,cue,cond,correct_response
1,stimuli\left_congruent.png,congruent,1
2,stimuli\right_congruent.png,congruent,2
1,stimuli\left_incongruent.png,incongruent,1
1,stimuli\right_incongruent.png,incongruent,2
2,stimuli\left_neutral.png,neutral,1
2,stimuli\right_neutral.png,neutral,2
1,stimuli\right_nogo.png,nogo,3
2,stimuli\left_nogo.png,nogo,3
1,stimuli\left_congruent.png,congruent,1
1,stimuli\right_congruent.png,congruent,2
1,stimuli\left_incongruent.png,incongruent,1
2,stimuli\right_incongruent.png,incongruent,2
1,stimuli\left_neutral.png,neutral,1
1,stimuli\right_neutral.png,neutral,2
2,stimuli\right_nogo.png,nogo,3
2,stimuli\left_nogo.png,nogo,3
