trial,reinforcer,reward_size,difficulty,position,trial_type,stimulus,correct_resp
1,secondary,low,hard,right,congruent,right_congruent,k
2,secondary,high,hard,right,nogo,right_nogo,
3,secondary,high,hard,right,congruent,right_congruent,k
4,secondary,low,hard,left,congruent,left_congruent,f
5,secondary,low,easy,right,congruent,right_congruent,k
6,secondary,high,easy,left,congruent,left_congruent,f
7,secondary,high,easy,right,congruent,right_congruent,k
8,secondary,low,easy,right,congruent,right_congruent,k
9,secondary,high,easy,left,nogo,left_nogo,
10,secondary,high,easy,right,congruent,right_congruent,k
11,secondary,high,hard,right,congruent,right_congruent,k
12,secondary,low,easy,right,congruent,right_congruent,k
1,secondary,high,easy,right,congruent,right_congruent,k
2,secondary,low,hard,right,congruent,right_congruent,k
3,secondary,high,hard,right,congruent,right_congruent,k
4,secondary,high,hard,left,congruent,left_congruent,f
5,secondary,low,easy,left,nogo,left_nogo,
6,secondary,low,easy,right,congruent,right_congruent,k
7,secondary,high,hard,right,congruent,right_congruent,k
8,secondary,high,hard,left,nogo,left_nogo,
9,secondary,high,easy,left,nogo,left_nogo,
10,secondary,low,hard,right,nogo,right_nogo,
11,secondary,high,hard,right,congruent,right_congruent,k
12,secondary,low,easy,right,congruent,right_congruent,k
13,secondary,low,hard,right,congruent,right_congruent,k
14,secondary,high,easy,left,congruent,left_congruent,f
15,secondary,low,hard,right,congruent,right_congruent,k
16,secondary,low,hard,left,congruent,left_congruent,f
17,secondary,low,hard,left,nogo,left_nogo,
18,secondary,high,easy,left,nogo,left_nogo,
19,secondary,low,hard,right,nogo,right_nogo,
20,secondary,low,hard,left,nogo,left_nogo,
21,secondary,high,easy,left,congruent,left_congruent,f
22,secondary,low,hard,right,nogo,right_nogo,
23,secondary,low,easy,left,congruent,left_congruent,f
24,secondary,low,hard,right,congruent,right_congruent,k
25,secondary,high,easy,right,congruent,right_congruent,k
26,secondary,low,easy,left,congruent,left_congruent,f
27,secondary,low,hard,left,congruent,left_congruent,f
28,secondary,low,hard,right,congruent,right_congruent,k
29,secondary,low,easy,left,congruent,left_congruent,f
30,secondary,low,easy,right,congruent,right_congruent,k
31,secondary,high,hard,right,nogo,right_nogo,
32,secondary,low,easy,right,nogo,right_nogo,
33,secondary,low,easy,right,congruent,right_congruent,k
34,secondary,high,easy,left,congruent,left_congruent,f
35,secondary,high,hard,left,congruent,left_congruent,f
36,secondary,low,easy,left,congruent,left_congruent,f
37,secondary,low,hard,left,congruent,left_congruent,f
38,secondary,low,easy,right,congruent,right_congruent,k
39,secondary,low,hard,left,congruent,left_congruent,f
40,secondary,high,hard,left,congruent,left_congruent,f
41,secondary,high,hard,right,congruent,right_congruent,k
42,secondary,high,easy,left,congruent,left_congruent,f
43,secondary,low,hard,right,congruent,right_congruent,k
44,secondary,low,easy,right,congruent,right_congruent,k
45,secondary,high,hard,left,congruent,left_congruent,f
46,secondary,high,hard,right,congruent,right_congruent,k
47,secondary,high,easy,left,congruent,left_congruent,f
48,secondary,high,easy,right,nogo,right_nogo,
49,secondary,high,easy,right,congruent,right_congruent,k
50,secondary,low,easy,left,congruent,left_congruent,f
51,secondary,high,hard,left,congruent,left_congruent,f
52,secondary,low,easy,right,nogo,right_nogo,
53,secondary,high,hard,left,congruent,left_congruent,f
54,secondary,low,easy,right,congruent,right_congruent,k
55,secondary,low,easy,left,nogo,left_nogo,
56,secondary,low,easy,right,nogo,right_nogo,
57,secondary,high,easy,right,congruent,right_congruent,k
58,secondary,high,easy,left,congruent,left_congruent,f
59,secondary,low,hard,left,congruent,left_congruent,f
60,secondary,low,hard,left,nogo,left_nogo,
61,secondary,low,hard,right,congruent,right_congruent,k
62,secondary,low,hard,right,nogo,right_nogo,
63,secondary,high,easy,right,congruent,right_congruent,k
64,secondary,high,easy,left,congruent,left_congruent,f
65,secondary,low,hard,right,congruent,right_congruent,k
66,secondary,high,hard,left,congruent,left_congruent,f
67,secondary,high,easy,left,congruent,left_congruent,f
68,secondary,low,easy,right,nogo,right_nogo,
69,secondary,low,hard,right,congruent,right_congruent,k
70,secondary,low,hard,left,congruent,left_congruent,f
71,secondary,high,hard,right,nogo,right_nogo,
72,secondary,high,hard,left,congruent,left_congruent,f
73,secondary,low,easy,right,congruent,right_congruent,k
74,secondary,low,hard,right,congruent,right_congruent,k
75,secondary,high,hard,left,nogo,left_nogo,
76,secondary,high,hard,left,congruent,left_congruent,f
77,secondary,low,hard,left,nogo,left_nogo,
78,secondary,low,easy,left,congruent,left_congruent,f
79,secondary,high,easy,left,congruent,left_congruent,f
80,secondary,high,hard,right,congruent,right_congruent,k
81,secondary,high,hard,right,nogo,right_nogo,
82,secondary,low,easy,right,congruent,right_congruent,k
83,secondary,high,easy,left,congruent,left_congruent,f
84,secondary,low,easy,left,congruent,left_congruent,f
85,secondary,high,easy,left,nogo,left_nogo,
86,secondary,high,hard,right,congruent,right_congruent,k
87,secondary,high,easy,left,nogo,left_nogo,
88,secondary,high,hard,right,congruent,right_congruent,k
89,secondary,high,hard,right,congruent,right_congruent,k
90,secondary,low,easy,left,nogo,left_nogo,
91,secondary,high,hard,right,congruent,right_congruent,k
92,secondary,high,hard,left,congruent,left_congruent,f
93,secondary,high,hard,right,congruent,right_congruent,k
94,secondary,high,easy,right,congruent,right_congruent,k
95,secondary,low,easy,left,nogo,left_nogo,
96,secondary,low,hard,right,congruent,right_congruent,k
97,secondary,high,hard,right,congruent,right_congruent,k
98,secondary,low,hard,left,congruent,left_congruent,f
99,secondary,low,easy,left,nogo,left_nogo,
100,secondary,high,hard,right,nogo,right_nogo,
101,secondary,high,hard,left,congruent,left_congruent,f
102,secondary,low,hard,left,nogo,left_nogo,
103,secondary,high,easy,right,nogo,right_nogo,
104,secondary,low,hard,right,nogo,right_nogo,
105,secondary,high,easy,right,nogo,right_nogo,
106,secondary,high,hard,left,congruent,left_congruent,f
107,secondary,low,hard,right,congruent,right_congruent,k
108,secondary,high,easy,left,congruent,left_congruent,f
109,secondary,high,easy,right,congruent,right_congruent,k
110,secondary,high,hard,left,congruent,left_congruent,f
111,secondary,high,hard,left,congruent,left_congruent,f
112,secondary,high,easy,right,nogo,right_nogo,
113,secondary,high,easy,left,congruent,left_congruent,f
114,secondary,high,hard,left,congruent,left_congruent,f
115,secondary,high,easy,right,congruent,right_congruent,k
116,secondary,high,easy,right,congruent,right_congruent,k
117,secondary,high,easy,right,congruent,right_congruent,k
118,secondary,high,hard,left,congruent,left_congruent,f
119,secondary,low,hard,right,congruent,right_congruent,k
120,secondary,low,hard,left,congruent,left_congruent,f
121,secondary,low,easy,left,congruent,left_congruent,f
122,secondary,low,easy,left,congruent,left_congruent,f
123,secondary,low,easy,right,congruent,right_congruent,k
124,secondary,low,hard,left,congruent,left_congruent,f
125,secondary,low,easy,right,nogo,right_nogo,
126,secondary,low,hard,right,congruent,right_congruent,k
127,secondary,high,easy,left,congruent,left_congruent,f
128,secondary,high,hard,left,congruent,left_congruent,f
129,secondary,high,easy,left,nogo,left_nogo,
130,secondary,low,easy,left,nogo,left_nogo,
131,secondary,high,hard,left,congruent,left_congruent,f
132,secondary,low,easy,right,congruent,right_congruent,k
133,secondary,high,easy,right,congruent,right_congruent,k
134,secondary,high,hard,right,congruent,right_congruent,k
135,secondary,low,hard,right,nogo,right_nogo,
136,secondary,high,easy,right,congruent,right_congruent,k
137,secondary,low,hard,left,congruent,left_congruent,f
138,secondary,high,easy,left,congruent,left_congruent,f
139,secondary,high,hard,right,nogo,right_nogo,
140,secondary,low,hard,right,congruent,right_congruent,k
141,secondary,high,hard,right,congruent,right_congruent,k
142,secondary,high,easy,right,nogo,right_nogo,
143,secondary,high,easy,left,nogo,left_nogo,
144,secondary,low,hard,left,nogo,left_nogo,
145,secondary,high,hard,right,congruent,right_congruent,k
146,secondary,high,easy,right,nogo,right_nogo,
147,secondary,low,hard,left,nogo,left_nogo,
148,secondary,high,easy,left,congruent,left_congruent,f
149,secondary,high,hard,right,congruent,right_congruent,k
150,secondary,low,easy,right,congruent,right_congruent,k
151,secondary,low,hard,left,congruent,left_congruent,f
152,secondary,high,hard,right,congruent,right_congruent,k
153,secondary,low,hard,right,congruent,right_congruent,k
154,secondary,low,easy,right,nogo,right_nogo,
155,secondary,high,hard,left,congruent,left_congruent,f
156,secondary,low,hard,left,congruent,left_congruent,f
157,secondary,low,easy,left,congruent,left_congruent,f
158,secondary,low,easy,right,congruent,right_congruent,k
159,secondary,low,hard,left,congruent,left_congruent,f
160,secondary,high,hard,left,congruent,left_congruent,f
161,secondary,low,hard,left,congruent,left_congruent,f
162,secondary,low,easy,right,nogo,right_nogo,
163,secondary,high,hard,right,congruent,right_congruent,k
164,secondary,high,hard,right,congruent,right_congruent,k
165,secondary,high,easy,right,congruent,right_congruent,k
166,secondary,low,hard,left,congruent,left_congruent,f
167,secondary,high,hard,right,nogo,right_nogo,
168,secondary,high,easy,left,nogo,left_nogo,
169,secondary,low,hard,left,congruent,left_congruent,f
170,secondary,high,easy,right,congruent,right_congruent,k
171,secondary,low,easy,left,congruent,left_congruent,f
172,secondary,low,easy,left,congruent,left_congruent,f
173,secondary,low,easy,right,congruent,right_congruent,k
174,secondary,high,easy,right,congruent,right_congruent,k
175,secondary,high,hard,left,nogo,left_nogo,
176,secondary,low,hard,left,congruent,left_congruent,f
177,secondary,low,easy,left,congruent,left_congruent,f
178,secondary,low,easy,left,congruent,left_congruent,f
179,secondary,high,hard,left,congruent,left_congruent,f
180,secondary,high,easy,left,nogo,left_nogo,
181,secondary,low,easy,left,congruent,left_congruent,f
182,secondary,low,easy,left,congruent,left_congruent,f
183,secondary,high,hard,left,nogo,left_nogo,
184,secondary,high,hard,right,congruent,right_congruent,k
185,secondary,high,hard,left,nogo,left_nogo,
186,secondary,high,hard,left,congruent,left_congruent,f
187,secondary,high,hard,left,congruent,left_congruent,f
188,secondary,low,easy,right,congruent,right_congruent,k
189,secondary,low,hard,right,congruent,right_congruent,k
190,secondary,low,hard,left,nogo,left_nogo,
191,secondary,high,easy,left,nogo,left_nogo,
192,secondary,high,easy,left,congruent,left_congruent,f
193,secondary,high,easy,right,congruent,right_congruent,k
194,secondary,low,easy,left,congruent,left_congruent,f
195,secondary,high,hard,left,nogo,left_nogo,
196,secondary,high,easy,left,congruent,left_congruent,f
197,secondary,high,easy,left,congruent,left_congruent,f
198,secondary,low,easy,left,congruent,left_congruent,f
199,secondary,low,easy,left,congruent,left_congruent,f
200,secondary,high,easy,right,congruent,right_congruent,k
201,secondary,high,easy,left,congruent,left_congruent,f
202,secondary,low,hard,left,congruent,left_congruent,f
203,secondary,high,easy,right,nogo,right_nogo,
204,secondary,high,hard,left,congruent,left_congruent,f
205,secondary,low,hard,left,congruent,left_congruent,f
206,secondary,low,hard,right,congruent,right_congruent,k
207,secondary,low,hard,right,nogo,right_nogo,
208,secondary,low,easy,left,congruent,left_congruent,f
209,secondary,low,hard,right,congruent,right_congruent,k
210,secondary,high,hard,left,nogo,left_nogo,
211,secondary,high,hard,right,nogo,right_nogo,
212,secondary,high,hard,left,nogo,left_nogo,
213,secondary,high,easy,right,congruent,right_congruent,k
214,secondary,low,easy,right,congruent,right_congruent,k
215,secondary,high,hard,right,congruent,right_congruent,k
216,secondary,low,easy,left,congruent,left_congruent,f
217,secondary,high,easy,left,congruent,left_congruent,f
218,secondary,low,hard,left,nogo,left_nogo,
219,secondary,low,hard,right,congruent,right_congruent,k
220,secondary,high,easy,right,congruent,right_congruent,k
221,secondary,high,hard,right,congruent,right_congruent,k
222,secondary,high,easy,right,congruent,right_congruent,k
223,secondary,low,easy,right,congruent,right_congruent,k
224,secondary,low,hard,left,congruent,left_congruent,f
225,secondary,high,easy,right,nogo,right_nogo,
226,secondary,low,hard,left,congruent,left_congruent,f
227,secondary,low,hard,left,nogo,left_nogo,
228,secondary,low,easy,left,nogo,left_nogo,
229,secondary,low,hard,left,congruent,left_congruent,f
230,secondary,high,easy,left,congruent,left_congruent,f
